DATE,NKCTF,NK_I,NK_II,NK_III,NSCTF,SSCTF,SOBCTF,BECHRAJI,SOBCTF_R,BECHRAJI_R,GGSLINE_R,PH,NGM_LAB,NGM_MFM,REMARKS
21-04-2007,0,0,0,0,0,0,0,0,2.8,21,10.6,4.8,4.7,4.9,
22-04-2007,6.3,1.6,2.2,2.2,4.8,4.4,8.6,4.5,3.8,29,10.7,3.1,6.3,7,
23-04-2007,5.4,4.2,3.2,4.1,2.5,5.7,5.8,19.8,3.2,15.5,10.8,3,5.3,,
24-04-2007,6.2,3.4,4,5.1,4.4,6,1.8,6,3.2,17.8,10.7,4.9,2.8,1.4,
25-04-2007,5.2,2.6,2.7,6.4,3.7,3.1,3.6,22,2.6,21.2,13.4,4,5.8,2.9,
26-04-2007,6.7,6.3,3.4,3.1,2.5,5.7,6.4,20.3,6,16,12.4,7.5,4.2,1.4,
27-04-2007,7.8,1,2,4.3,3.2,29,3.1,15.2,2.6,20.1,16.7,5.8,7.1,6,
28-04-2007,0,0,0,0,0,0,0,0,4.3,34.8,21.8,9.8,6.2,5.1,
29-04-2007,6.6,1.3,4.8,2.9,4.7,8.4,2.4,8.1,4.3,24.9,16.5,6.2,8.9,0,
30-04-2007,6.2,3.2,4.8,2.4,4.7,2.3,2.5,6.8,3.9,24,11.7,8.4,6,6.7,
01-05-2007,8.5,2.7,3,3.3,1.4,4,1.7,12.6,2.8,24,17.4,5.8,7.4,6,
02-05-2007,7,1,3.6,5.2,3.4,6.4,1.9,7.2,3.5,15,10.5,6.6,5,4.3,
03-05-2007,5.8,1.5,3.1,3.5,1.9,2.8,3.5,2.5,2.4,20,9.8,5.5,6.1,7.2,
04-05-2007,6.8,1.2,4.2,3.6,6.8,6.2,4.4,1.9,3.4,38.4,13,7.7,0,0,
05-05-2007,0,0,0,0,0,0,0,0,2.4,38,10.2,3.5,7.4,7,
06-05-2007,5.1,2,2.8,2.5,6.2,1.7,10.1,4.3,4.3,0,8.9,3.8,5.5,3.7,
07-05-2007,5,1.8,0,1.7,1,10.4,5.4,3.7,5.6,0,8.9,5.4,2.6,1.4,
08-05-2007,4.8,1.7,2.7,1.3,1.1,3.9,3.7,4.3,4.7,0,9.3,3.8,0,0,
